insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Camella Creagh', 'azomiwxufdjcnls', '2021-12-01T19:42:37Z', '2021-06-18T19:15:33Z', '2362', '400', 'igmpscvlryuetjhoadqzxf');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Hodge Macveigh', 'bwvjzlsgidktheo', '2022-02-22T09:49:33Z', '2021-07-13T19:16:17Z', '4029', '2102', 'zvcadprjiuqybxtnlmswfhogek');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Addison Gotcliff', 'lzbjucsoenp', '2021-11-27T04:52:51Z', '2021-10-17T06:47:56Z', '4036', '2116', 'rikwhycesvtpbmxlojqnafz');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Siusan Cough', 'uwthjfaiyrocq', '2022-05-05T09:02:16Z', '2022-02-23T16:10:56Z', '870', '1670', 'emiycaknzftulwjhqsbxvropgd');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Drucy Berwick', 'dvrlhcmifbeoyxw', '2021-09-30T21:25:34Z', '2022-03-18T12:56:48Z', '2788', '830', 'frmbevgkyawjhuznsdqcxtpoil');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Deanne Grinnov', 'dscnpmtilu', '2021-08-05T15:18:13Z', '2021-10-11T12:39:27Z', '4607', '3227', 'lcmjfzgkrsphwtoeyxaiqnbudv');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Sonnnie MacDougall', 'zjryeuwhvoscblxkdgqf', '2021-09-23T17:20:29Z', '2021-06-13T12:10:07Z', '3625', '3841', 'jdhxpfuytvwibeqgmlcszrkoa');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Nadia Eble', 'qjucthmsdypvinzlk', '2022-01-22T20:17:58Z', '2022-03-31T01:16:09Z', '290', '213', 'plvskjezaqdtrmgobxwncuihfy');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Berk Furphy', 'iqctaykmvfbpshrxdwlu', '2022-05-07T06:23:38Z', '2021-12-10T03:38:22Z', '3206', '1845', 'ymleazixcgtswuqjnpbkvofrhd');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Taylor Drillot', 'nyxldaksoeucfqvhjrit', '2021-11-28T05:53:54Z', '2021-10-26T09:03:03Z', '774', '1364', 'rbfqjaxvzlwpung');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Ozzy Spivey', 'tavzhbgosurplm', '2021-09-30T16:04:53Z', '2021-09-27T16:00:37Z', '4755', '3646', 'nxftbimaqvjywcspelkdrzu');
